0 1
0.02 1.1
0.04 1.2
0.06 1.3
0.08 1.4
0.1 1.5
0.12 1.6
0.14 1.7
0.16 1.8
0.18 1.9
0.2 2
0.22 2.1
0.24 2.2
0.26 2.3
0.28 2.4
0.3 2.5
0.32 2.6
0.34 2.7
0.36 2.8
0.38 2.9
0.4 3
0.42 2.9
0.44 2.8
0.46 2.7
0.48 2.6
0.5 2.5
0.52 2.4
0.54 2.3
0.56 2.2
0.58 2.1
0.6 2
0.62 2.2
0.64 2.4
0.66 2.6
0.68 2.8
0.7 3
0.72 3.2
0.74 3.4
0.76 3.6
0.78 3.8
0.8 4
0.82 4.3
0.84 4.6
0.86 4.9
0.88 5.2
0.9 5.5
0.92 5.8
0.94 6.1
0.96 6.4
0.98 6.7
1 7
1.02 6.5
1.04 6
1.06 5.5
1.08 5
1.1 4.5
1.12 4
1.14 3.5
1.16 3
1.18 2.5
1.2 2
1.22 2.1
1.24 2.2
1.26 2.3
1.28 2.4
1.3 2.5
1.32 2.6
1.34 2.7
1.36 2.8
1.38 2.9
1.4 3
1.42 3.3
1.44 3.6
1.46 3.9
1.48 4.2
1.5 4.5
1.52 4.8
1.54 5.1
1.56 5.4
1.58 5.7
1.6 6
1.62 5.8
1.64 5.6
1.66 5.4
1.68 5.2
1.7 5
1.72 4.8
1.74 4.6
1.76 4.4
1.78 4.2
1.8 4
1.82 4.1
1.84 4.2
1.86 4.3
1.88 4.4
1.9 4.5
1.92 4.6
1.94 4.7
1.96 4.8
1.98 4.9
