Emin rmax rmin eps acc
-0.428437549526308 3 -0.500074692528231 0.02 -0.500121720352176 0.1 -0.500630088921362 0.1
-0.467952908828029 3.5 -0.500701829057122 0.04 -0.500944715916052 0.2 -0.501488266310268 0.2
-0.485954196580547 4 -0.500962469715998 0.06 -0.501077957072837 0.3 -0.502358324017018 0.3
-0.493801878175454 4.5 -0.501481764586705 0.08 -0.501284719895586 0.4 -0.503208343294916 0.4
-0.497448392906889 5 -0.502362184945015 0.1 -0.501407987499215 0.5 -0.503939259347402 0.5
-0.499153743233629 5.5 -0.503661002918094 0.12 -0.501545916757882 0.6 -0.504843813058559 0.6
-0.500286876642774 6 -0.505466454521075 0.14 -0.501695032599571 0.7 -0.505586944403027 0.7
-0.500574950010248 6.5 -0.507884000828961 0.16 -0.501828846427974 0.8 -0.50650271345998 0.8
-0.5006466843796 7 -0.511010385414546 0.18 -0.501983644705904 0.9 -0.506779762498262 0.9
-0.500635599058951 7.5 -0.514945675137193 0.2 -0.502050402575146 1 -0.507893124357833 1
